yolo detect predict model=model.pt source=./test_videos/gun3.mp4
Ultralytics 8.3.43 🚀 Python-3.10.12 torch-2.5.1+cu124 CUDA:0 (NVIDIA GeForce RTX 2080 SUPER, 7967MiB)
video 1/1 (frame 42/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 43/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 44/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 45/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 46/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 47/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 48/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 49/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.7ms
video 1/1 (frame 50/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 51/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 52/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 53/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 54/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 55/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 56/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.4ms
video 1/1 (frame 57/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 58/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 59/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 60/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 61/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 62/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 63/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.6ms
video 1/1 (frame 64/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 65/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
video 1/1 (frame 66/3302) /home/faryal/Downloads/Yolo11-Gun-Detection-Model/test_videos/gun3.mp4: 384x640 (no detections), 5.5ms
